id_edo,estado,edad,poblacion,hombres,mujeres,ArH,ArM
28,Tamaulipas,NE,101796,50993,50803,153.10,237.76
29,Tlaxcala,0,116073,58980,57093,103.78,80.30
29,Tlaxcala,5,123330,62673,60657,105.38,104.50
29,Tlaxcala,10,118634,59970,58664,97.91,91.59
29,Tlaxcala,15,119172,59831,59341,108.41,110.78
29,Tlaxcala,20,104781,50406,54375,97.81,96.69
29,Tlaxcala,25,93720,43235,50485,93.91,94.48
29,Tlaxcala,30,90612,41672,48940,100.98,101.51
29,Tlaxcala,35,84560,39297,45263,105.06,104.96
29,Tlaxcala,40,71030,33139,37891,99.21,97.77
29,Tlaxcala,45,58822,27512,31310,97.88,96.71
29,Tlaxcala,50,49362,23079,26283,103.21,107.67
29,Tlaxcala,55,36171,17210,18961,93.85,92.98
29,Tlaxcala,60,28530,13597,14933,98.66,104.48
29,Tlaxcala,65,21997,10353,11644,95.01,95.84
29,Tlaxcala,70,17497,8197,9300,99.59,102.30
29,Tlaxcala,75,13009,6108,6901,99.70,109.71
29,Tlaxcala,80,8741,4056,4685,82.16,77.77
29,Tlaxcala,85,8455,3766,4689,111.59,266.50
29,Tlaxcala,NE,5440,2694,2746,1.59,1.09
30,Veracruz de Ignacio de la Llave,0,662288,335899,326389,180.36,342.45
30,Veracruz de Ignacio de la Llave,5,728767,369775,358992,103.75,73.92
30,Veracruz de Ignacio de la Llave,10,741526,376924,364602,100.36,93.28
30,Veracruz de Ignacio de la Llave,15,759388,381351,378037,111.43,113.47
30,Veracruz de Ignacio de la Llave,20,642093,307562,334531,96.04,93.75
30,Veracruz de Ignacio de la Llave,25,557762,259153,298609,93.45,96.91
30,Veracruz de Ignacio de la Llave,30,539685,247094,292591,96.82,97.27
30,Veracruz de Ignacio de la Llave,35,542754,251277,291477,105.63,106.80
30,Veracruz de Ignacio de la Llave,40,486810,228657,258153,101.00,98.05
30,Veracruz de Ignacio de la Llave,45,424845,201515,223330,100.39,99.68
30,Veracruz de Ignacio de la Llave,50,365591,172802,192789,100.43,100.51
30,Veracruz de Ignacio de la Llave,55,298171,142619,155552,99.44,99.63
30,Veracruz de Ignacio de la Llave,60,239698,114048,125650,99.18,102.73
30,Veracruz de Ignacio de la Llave,65,183836,87365,96471,93.64,90.28
30,Veracruz de Ignacio de la Llave,70,155346,72547,82799,108.26,116.30
30,Veracruz de Ignacio de la Llave,75,100119,46658,53461,92.54,98.70
30,Veracruz de Ignacio de la Llave,80,62627,28294,34333,79.25,100.37
30,Veracruz de Ignacio de la Llave,85,56931,24743,32188,65.38,79.40
30,Veracruz de Ignacio de la Llave,NE,94957,47396,47561,85.43,90.31
31,Yucatán,0,170727,86219,84508,123.80,131.69
31,Yucatán,5,181587,91892,89695,102.59,92.26
31,Yucatán,10,182604,92921,89683,98.59,94.96
31,Yucatán,15,192027,96613,95414,105.05,103.72
31,Yucatán,20,183322,91013,92309,103.98,103.65
31,Yucatán,25,160355,78443,81912,95.58,94.39
31,Yucatán,30,151440,73129,78311,98.53,96.71
31,Yucatán,35,145205,69998,75207,108.19,111.84
31,Yucatán,40,116699,56265,60434,94.94,91.66
31,Yucatán,45,101202,48528,52674,98.96,101.68
31,Yucatán,50,87918,41814,46104,99.70,100.75
31,Yucatán,55,73419,35354,38065,98.95,96.81
31,Yucatán,60,61572,29647,31925,104.71,110.52
31,Yucatán,65,44092,21271,22821,90.55,86.78
31,Yucatán,70,35779,17334,18445,103.98,110.73
31,Yucatán,75,24558,12071,12487,97.25,106.64
31,Yucatán,80,15627,7491,8136,78.42,78.69
31,Yucatán,85,14846,7035,7811,102.06,218.68
31,Yucatán,NE,12598,6295,6303,14.93,10.37
32,Zacatecas,0,152037,77320,74717,185.88,324.54
32,Zacatecas,5,151780,76898,74882,99.63,69.37
32,Zacatecas,10,152154,77052,75102,101.34,97.57
32,Zacatecas,15,150499,75169,75330,108.11,108.06
32,Zacatecas,20,131079,62008,69071,98.75,99.37
32,Zacatecas,25,107817,50416,57401,90.64,91.40
32,Zacatecas,30,105427,49237,56190,99.58,101.22
32,Zacatecas,35,101327,48473,52854,106.11,105.92
32,Zacatecas,40,88979,42123,46856,100.79,98.75
32,Zacatecas,45,74010,35111,38899,98.01,96.85
32,Zacatecas,50,62448,29522,32926,101.60,106.16
32,Zacatecas,55,47741,23002,24739,93.40,92.92
32,Zacatecas,60,41090,19732,21358,99.44,103.62
32,Zacatecas,65,34106,16684,17422,98.53,96.80
32,Zacatecas,70,29225,14135,15090,104.14,105.10
32,Zacatecas,75,21022,10463,10559,99.63,106.45
32,Zacatecas,80,13941,6868,7073,83.05,87.51
32,Zacatecas,85,12768,6076,6692,90.18,60.00
32,Zacatecas,NE,13218,6608,6610,217.51,482.42
